,Team,Year,Event,Medal
720,Ethiopia,2000,Athletics Men's Marathon,Gold
21706,Ethiopia,1960,Athletics Men's Marathon,Gold
21707,Ethiopia,1964,Athletics Men's Marathon,Gold
41811,Germany,1976,Athletics Men's Marathon,Gold
41812,Germany,1980,Athletics Men's Marathon,Gold
53437,United States,1924,Athletics Men's Marathon,Bronze
68687,Great Britain,1932,Athletics Men's Marathon,Silver
71325,United States,1908,Athletics Men's Marathon,Bronze
72265,United States,1906,Athletics Men's Marathon,Bronze
72840,Germany,1992,Athletics Men's Marathon,Bronze
91017,Great Britain,1936,Athletics Men's Marathon,Silver
92495,United States,1908,Athletics Men's Marathon,Gold
92776,Great Britain,1964,Athletics Men's Marathon,Silver
95663,United States,1904,Athletics Men's Marathon,Gold
115158,Ethiopia,2008,Athletics Men's Marathon,Bronze
115262,United States,2004,Athletics Men's Marathon,Silver
119306,Japan,1968,Athletics Men's Marathon,Silver
119677,Kenya,2016,Athletics Men's Marathon,Gold
119728,Kenya,2012,Athletics Men's Marathon,Bronze
120040,Kenya,2012,Athletics Men's Marathon,Silver
139051,Ethiopia,2016,Athletics Men's Marathon,Silver
163643,Japan,1992,Athletics Men's Marathon,Silver
168100,Japan,1936,Athletics Men's Marathon,Bronze
170345,United States,1904,Athletics Men's Marathon,Bronze
200122,Great Britain,1948,Athletics Men's Marathon,Silver
206250,United States,2016,Athletics Men's Marathon,Bronze
218986,United States,1972,Athletics Men's Marathon,Gold
218987,United States,1976,Athletics Men's Marathon,Silver
225056,Japan,1936,Athletics Men's Marathon,Gold
226271,Great Britain,1984,Athletics Men's Marathon,Bronze
230703,United States,1912,Athletics Men's Marathon,Bronze
241128,Ethiopia,2000,Athletics Men's Marathon,Bronze
244353,Japan,1964,Athletics Men's Marathon,Bronze
255622,Kenya,1996,Athletics Men's Marathon,Bronze
255623,Kenya,2000,Athletics Men's Marathon,Silver
255678,Kenya,1988,Athletics Men's Marathon,Silver
256968,Kenya,2008,Athletics Men's Marathon,Gold
262397,Ethiopia,1968,Athletics Men's Marathon,Gold
262398,Ethiopia,1972,Athletics Men's Marathon,Bronze
